disease,symptoms,tips
Common Cold,sneezing; cough; runny nose; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,fever; chills; body aches; cough; fatigue,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,headache; nausea; sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis,nausea; vomiting; diarrhea; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis,sneezing; runny nose; itchy eyes; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,fever; cough; shortness of breath; chest pain,See a doctor — may need antibiotics or supportive care
Asthma,wheeze; shortness of breath; chest tightness; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension,headache; dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,increased thirst; frequent urination; fatigue; blurred vision,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,painful urination; frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,headache; visual disturbances; nausea,As for migraine; seek medical care if pattern changes
Bronchitis,cough; mucus; fatigue; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis,facial pain; nasal congestion; headache; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media,ear pain; fever; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection,redness; swelling; pain; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,worry; restlessness; insomnia; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression,low mood; loss of interest; fatigue; sleep changes,"Seek professional help: therapy, social support, medications"
Back Pain,lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,joint pain; stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis,joint pain; swelling; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,sneezing; cough; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza,fever; fatigue,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (recurrent),nausea; sensitivity to light; visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis,diarrhea; nausea; stomach pain; vomiting; loss of appetite,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,itchy eyes; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,shortness of breath; fever,See a doctor — may need antibiotics or supportive care
Asthma (recurrent),shortness of breath; chest tightness; wheeze; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),blurred vision; fatigue; increased thirst,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,lower abdominal pain; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,visual disturbances; headache; nausea; fatigue,As for migraine; seek medical care if pattern changes
Bronchitis (acute),mild fever; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (acute),facial pain; headache; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media (chronic),hearing difficulty; fever; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - pediatric,pus; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),palpitations; worry; fever,"Consider therapy, lifestyle changes, medications as advised"
Depression,loss of interest; sleep changes,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain - adult,limited mobility; lower back pain,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),morning stiffness; swelling; nausea,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),runny nose; sore throat; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza - pediatric,body aches; fever; chills; cough; nausea,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,headache; nausea; visual aura; sensitivity to light; fatigue,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (acute),diarrhea; nausea; vomiting; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,nasal congestion; sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (chronic),fever; chest pain; cough; shortness of breath; headache,See a doctor — may need antibiotics or supportive care
Asthma - adult,shortness of breath; chest tightness; wheeze; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; headache; nosebleeds; fever,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - adult,blurred vision; fatigue; increased thirst; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,frequent urination; painful urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
